feature,importance_mean,importance_std,contribution_pct
impervious_fraction,1.357403128898883,0.05098663384016864,91.9
ndvi,0.10009016382426725,0.004720025309557953,6.8
air_temp_c,0.00880171141180784,0.00053328931866607,0.6
humidity_pct,0.006865045318438708,0.0007713821118950959,0.5
building_height_m,0.002209460709774502,0.0003115385300243218,0.1
albedo,0.002012166470754121,0.0004392555412361105,0.1
sky_view_factor,0.00019044795783878705,7.299125476703035e-05,0.0
building_density,0.0001592706881003325,8.441599790683382e-05,0.0
inv_dist_to_water,0.0,0.0,0.0
wind_speed_ms,-6.81937769081579e-05,6.57256753837209e-05,0.0
